revenue,class,id,budget,starpower,certification,year,month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,rating,ratingClass
3099314,2,tt1675192,5000000,7422837454,6,2011,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.4,7
12077441,3,tt1682180,12000000,9281979534,6,2013,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6.8,6
209696,1,tt1687901,4798235,16632221198,6,2011,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6.5,6
219788712,9,tt1691917,50000000,22190176281,24,2013,8,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.8,5
27603069,4,tt1692486,25000000,10098311913,6,2011,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.2,7
100654149,7,tt1698641,28000000,22998399887,24,2014,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.2,6
145000000,7,tt1706593,15000000,4747906409,11,2012,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,7.1,7
86758912,6,tt1706620,39200000,29129625228,6,2013,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7.0,7
441809770,9,tt1707386,61000000,135862095538,11,2012,12,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,7.6,7
30353232,4,tt1712170,45000000,10156167841,11,2012,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5.1,5
6854611,2,tt1714206,2500000,8269796502,6,2013,8,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.1,7
269994119,9,tt1723121,37000000,18520470511,6,2013,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7
17693675,3,tt1723811,6500000,6950000011,18,2011,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.2,7
3665069,2,tt1726669,10000000,10389510036,1,2011,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6.7,6
23198652,4,tt1727388,4600000,18925785418,11,2013,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.4,7
125537191,7,tt1731141,110000000,22536293837,11,2013,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.7,6
1165882,2,tt1731697,1500000,6697540890,6,2012,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.1,5
396600000,9,tt1735898,170000000,52192788936,11,2012,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6.1,6
17508518,3,tt1742334,35000000,29313265940,6,2014,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5.7,5
68263166,6,tt1748122,16000000,22200194217,11,2012,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.8,7
13551174,3,tt1748179,14000000,30590902465,6,2012,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.2,6
3566225,2,tt1758795,1500000,22668941453,6,2013,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.8,5
88058786,6,tt1758830,35000000,26507056593,6,2012,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,6
74918,1,tt1763264,2900000,8186075165,6,2013,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6.0,6
35485056,4,tt1764183,12000000,7333957547,6,2012,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.6,6
37930465,4,tt1764234,15000000,22100393951,6,2012,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.2,6
23000000,4,tt1764625,10500000,287915195,9,2012,8,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.9,5
13101672,3,tt1767382,2000000,3894344109,6,2011,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5.3,5
25562924,4,tt1772240,5000000,3173474882,11,2011,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5.2,5
471222889,9,tt1772341,165000000,138170208891,9,2012,11,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.7,7
171760,1,tt1788391,500000,2765111574,3,2011,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6.3,6
