revenue,class,id,budget,starpower,certification,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,rating,ratingClass,month1,month2
0.5073251469639808,7,tt0356618,0.39013668238917226,-0.03709981246583792,-0.23076923076923062,0.13043478260868824,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,5.8,0.6,-1.0,-1.8369701987210297e-16
0.7860407900816763,9,tt0356634,0.5135414077850017,-0.16616424187730608,0.7692307692307694,0.13043478260868824,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0.5,1.2246467991473532e-16,-1.0
1.2378765244043486,9,tt0356910,1.0715997650968754,0.482832303113912,-0.23076923076923062,0.21739130434784215,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.5,0.6,1.2246467991473532e-16,-1.0
0.12739049446865638,5,tt0357277,0.4067912172622829,-0.36751309268922333,-0.23076923076923062,0.21739130434784215,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.8,0.5,0.49999999999999994,0.8660254037844387
0.37146266113601834,6,tt0357413,0.050702016214525567,0.8226662451004796,-0.23076923076923062,0.13043478260868824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0.7,-0.4999999999999998,-0.8660254037844388
0.7473885052034552,8,tt0358273,0.10315453212964791,0.3437226683019747,-0.23076923076923062,0.21739130434784215,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,7.9,0.8,-1.0,-1.8369701987210297e-16
0.5552297026753578,7,tt0359013,0.69923891947867,0.21570572581943198,-0.6153846153846153,0.13043478260868824,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5.9,0.6,-2.4492935982947064e-16,1.0
0.7520996658419922,8,tt0359950,0.929568039956345,0.12568373415418482,0.7692307692307694,0.9130434782608745,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.3,0.7,-2.4492935982947064e-16,1.0
-0.8848986099738239,2,tt0360009,-0.16204789381754292,-0.028042825447555444,-0.6153846153846153,0.13043478260868824,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,6.6,0.7,1.0,6.123233995736766e-17
-7.833387841342364,1,tt0360139,-0.036074076007992596,-0.38548759673208405,-0.23076923076923062,0.13043478260868824,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.1,0.6,0.49999999999999994,0.8660254037844387
-0.034796365608284016,5,tt0360201,0.17519480329949477,0.4554489940047701,-0.23076923076923062,0.13043478260868824,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.3,0.6,-1.0,-1.8369701987210297e-16
